,date,county,state,fips,cases,deaths,new_cases,new_deaths,roll_new_cases,roll_new_deaths
625432,2020-10-13,San Mateo,California,6081.0,10601,155.0,91.0,0.0,41.714285714285715,0.42857142857142855
628675,2020-10-14,San Mateo,California,6081.0,10622,155.0,21.0,0.0,39.285714285714285,0.14285714285714285
631919,2020-10-15,San Mateo,California,6081.0,10655,155.0,33.0,0.0,37.142857142857146,0.14285714285714285
635165,2020-10-16,San Mateo,California,6081.0,10687,155.0,32.0,0.0,33.57142857142857,0.0
638410,2020-10-17,San Mateo,California,6081.0,10743,157.0,56.0,2.0,33.285714285714285,0.2857142857142857
641657,2020-10-18,San Mateo,California,6081.0,10743,157.0,0.0,0.0,33.285714285714285,0.2857142857142857
644905,2020-10-19,San Mateo,California,6081.0,10810,157.0,67.0,0.0,42.857142857142854,0.2857142857142857
648150,2020-10-20,San Mateo,California,6081.0,10889,157.0,79.0,0.0,41.142857142857146,0.2857142857142857
651394,2020-10-21,San Mateo,California,6081.0,10918,157.0,29.0,0.0,42.285714285714285,0.2857142857142857
654639,2020-10-22,San Mateo,California,6081.0,10961,157.0,43.0,0.0,43.714285714285715,0.2857142857142857
657884,2020-10-23,San Mateo,California,6081.0,11002,159.0,41.0,2.0,45.0,0.5714285714285714
661128,2020-10-24,San Mateo,California,6081.0,11075,159.0,73.0,0.0,47.42857142857143,0.2857142857142857
664373,2020-10-25,San Mateo,California,6081.0,11075,159.0,0.0,0.0,47.42857142857143,0.2857142857142857
667619,2020-10-26,San Mateo,California,6081.0,11149,159.0,74.0,0.0,48.42857142857143,0.2857142857142857
670862,2020-10-27,San Mateo,California,6081.0,11198,159.0,49.0,0.0,44.142857142857146,0.2857142857142857
674104,2020-10-28,San Mateo,California,6081.0,11232,159.0,34.0,0.0,44.857142857142854,0.2857142857142857
677348,2020-10-29,San Mateo,California,6081.0,11278,159.0,46.0,0.0,45.285714285714285,0.2857142857142857
680591,2020-10-30,San Mateo,California,6081.0,11341,161.0,63.0,2.0,48.42857142857143,0.2857142857142857
683835,2020-10-31,San Mateo,California,6081.0,11371,161.0,30.0,0.0,42.285714285714285,0.2857142857142857
687080,2020-11-01,San Mateo,California,6081.0,11371,161.0,0.0,0.0,42.285714285714285,0.2857142857142857
690325,2020-11-02,San Mateo,California,6081.0,11451,161.0,80.0,0.0,43.142857142857146,0.2857142857142857
693568,2020-11-03,San Mateo,California,6081.0,11479,161.0,28.0,0.0,40.142857142857146,0.2857142857142857
696811,2020-11-04,San Mateo,California,6081.0,11564,161.0,85.0,0.0,47.42857142857143,0.2857142857142857
700056,2020-11-05,San Mateo,California,6081.0,11629,161.0,65.0,0.0,50.142857142857146,0.2857142857142857
703300,2020-11-06,San Mateo,California,6081.0,11710,162.0,81.0,1.0,52.714285714285715,0.14285714285714285
706543,2020-11-07,San Mateo,California,6081.0,11810,162.0,100.0,0.0,62.714285714285715,0.14285714285714285
709787,2020-11-08,San Mateo,California,6081.0,11810,162.0,0.0,0.0,62.714285714285715,0.14285714285714285
713031,2020-11-09,San Mateo,California,6081.0,11937,162.0,127.0,0.0,69.42857142857143,0.14285714285714285
716275,2020-11-10,San Mateo,California,6081.0,12049,165.0,112.0,3.0,81.42857142857143,0.5714285714285714
719519,2020-11-11,San Mateo,California,6081.0,12127,165.0,78.0,0.0,80.42857142857143,0.5714285714285714
722763,2020-11-12,San Mateo,California,6081.0,12127,165.0,0.0,0.0,71.14285714285714,0.5714285714285714
726007,2020-11-13,San Mateo,California,6081.0,12332,168.0,205.0,3.0,88.85714285714286,0.8571428571428571
729251,2020-11-14,San Mateo,California,6081.0,12465,168.0,133.0,0.0,93.57142857142857,0.8571428571428571
732496,2020-11-15,San Mateo,California,6081.0,12465,168.0,0.0,0.0,93.57142857142857,0.8571428571428571
735742,2020-11-16,San Mateo,California,6081.0,12565,168.0,100.0,0.0,89.71428571428571,0.8571428571428571
738987,2020-11-17,San Mateo,California,6081.0,12684,168.0,119.0,0.0,90.71428571428571,0.42857142857142855
742234,2020-11-18,San Mateo,California,6081.0,12780,168.0,96.0,0.0,93.28571428571429,0.42857142857142855
745481,2020-11-19,San Mateo,California,6081.0,12878,168.0,98.0,0.0,107.28571428571429,0.42857142857142855
748728,2020-11-20,San Mateo,California,6081.0,12988,169.0,110.0,1.0,93.71428571428571,0.14285714285714285
751975,2020-11-21,San Mateo,California,6081.0,13203,169.0,215.0,0.0,105.42857142857143,0.14285714285714285
755222,2020-11-22,San Mateo,California,6081.0,13203,169.0,0.0,0.0,105.42857142857143,0.14285714285714285
758469,2020-11-23,San Mateo,California,6081.0,13334,169.0,131.0,0.0,109.85714285714286,0.14285714285714285
761715,2020-11-24,San Mateo,California,6081.0,13561,170.0,227.0,1.0,125.28571428571429,0.2857142857142857
764961,2020-11-25,San Mateo,California,6081.0,13707,170.0,146.0,0.0,132.42857142857142,0.2857142857142857
768208,2020-11-26,San Mateo,California,6081.0,13707,170.0,0.0,0.0,118.42857142857143,0.2857142857142857
771454,2020-11-27,San Mateo,California,6081.0,13715,170.0,8.0,0.0,103.85714285714286,0.14285714285714285
774699,2020-11-28,San Mateo,California,6081.0,14148,170.0,433.0,0.0,135.0,0.14285714285714285
777945,2020-11-29,San Mateo,California,6081.0,14148,170.0,0.0,0.0,135.0,0.14285714285714285
781191,2020-11-30,San Mateo,California,6081.0,14458,170.0,310.0,0.0,160.57142857142858,0.14285714285714285
784436,2020-12-01,San Mateo,California,6081.0,14614,170.0,156.0,0.0,150.42857142857142,0.0
787680,2020-12-02,San Mateo,California,6081.0,14812,170.0,198.0,0.0,157.85714285714286,0.0
790926,2020-12-03,San Mateo,California,6081.0,15040,170.0,228.0,0.0,190.42857142857142,0.0
794172,2020-12-04,San Mateo,California,6081.0,15217,176.0,177.0,6.0,214.57142857142858,0.8571428571428571
797417,2020-12-05,San Mateo,California,6081.0,15468,176.0,251.0,0.0,188.57142857142858,0.8571428571428571
800663,2020-12-06,San Mateo,California,6081.0,15512,176.0,44.0,0.0,194.85714285714286,0.8571428571428571
803909,2020-12-07,San Mateo,California,6081.0,16101,176.0,589.0,0.0,234.71428571428572,0.8571428571428571
807154,2020-12-08,San Mateo,California,6081.0,16371,177.0,270.0,1.0,251.0,1.0
810399,2020-12-09,San Mateo,California,6081.0,16666,177.0,295.0,0.0,264.85714285714283,1.0
36,2020-01-31,Santa Clara,California,6085.0,1,0.0,,,,
42,2020-02-01,Santa Clara,California,6085.0,1,0.0,0.0,0.0,0.0,0.0
50,2020-02-02,Santa Clara,California,6085.0,2,0.0,1.0,0.0,0.5,0.0
58,2020-02-03,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.3333333333333333,0.0
66,2020-02-04,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.25,0.0
74,2020-02-05,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.2,0.0
83,2020-02-06,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.16666666666666666,0.0
92,2020-02-07,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.14285714285714285,0.0
101,2020-02-08,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.14285714285714285,0.0
110,2020-02-09,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
120,2020-02-10,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
130,2020-02-11,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
140,2020-02-12,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
151,2020-02-13,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
162,2020-02-14,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
173,2020-02-15,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
184,2020-02-16,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
195,2020-02-17,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
207,2020-02-18,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
219,2020-02-19,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
232,2020-02-20,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
246,2020-02-21,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
260,2020-02-22,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
274,2020-02-23,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
288,2020-02-24,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
304,2020-02-25,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
323,2020-02-26,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
343,2020-02-27,Santa Clara,California,6085.0,2,0.0,0.0,0.0,0.0,0.0
363,2020-02-28,Santa Clara,California,6085.0,3,0.0,1.0,0.0,0.14285714285714285,0.0
385,2020-02-29,Santa Clara,California,6085.0,4,0.0,1.0,0.0,0.2857142857142857,0.0
408,2020-03-01,Santa Clara,California,6085.0,7,0.0,3.0,0.0,0.7142857142857143,0.0
437,2020-03-02,Santa Clara,California,6085.0,9,0.0,2.0,0.0,1.0,0.0
471,2020-03-03,Santa Clara,California,6085.0,11,0.0,2.0,0.0,1.2857142857142858,0.0
506,2020-03-04,Santa Clara,California,6085.0,14,0.0,3.0,0.0,1.7142857142857142,0.0
545,2020-03-05,Santa Clara,California,6085.0,20,0.0,6.0,0.0,2.5714285714285716,0.0
595,2020-03-06,Santa Clara,California,6085.0,24,0.0,4.0,0.0,3.0,0.0
672,2020-03-07,Santa Clara,California,6085.0,32,0.0,8.0,0.0,4.0,0.0
767,2020-03-08,Santa Clara,California,6085.0,37,0.0,5.0,0.0,4.285714285714286,0.0
881,2020-03-09,Santa Clara,California,6085.0,43,1.0,6.0,1.0,4.857142857142857,0.14285714285714285
1014,2020-03-10,Santa Clara,California,6085.0,45,1.0,2.0,0.0,4.857142857142857,0.14285714285714285
1180,2020-03-11,Santa Clara,California,6085.0,48,1.0,3.0,0.0,4.857142857142857,0.14285714285714285
1386,2020-03-12,Santa Clara,California,6085.0,66,1.0,18.0,0.0,6.571428571428571,0.14285714285714285
1647,2020-03-13,Santa Clara,California,6085.0,79,2.0,13.0,1.0,7.857142857142857,0.2857142857142857
1965,2020-03-14,Santa Clara,California,6085.0,91,2.0,12.0,0.0,8.428571428571429,0.2857142857142857
2346,2020-03-15,Santa Clara,California,6085.0,114,2.0,23.0,0.0,11.0,0.2857142857142857
2781,2020-03-16,Santa Clara,California,6085.0,138,4.0,24.0,2.0,13.571428571428571,0.42857142857142855
3263,2020-03-17,Santa Clara,California,6085.0,155,5.0,17.0,1.0,15.714285714285714,0.5714285714285714
3817,2020-03-18,Santa Clara,California,6085.0,175,6.0,20.0,1.0,18.142857142857142,0.7142857142857143
4477,2020-03-19,Santa Clara,California,6085.0,189,6.0,14.0,0.0,17.571428571428573,0.7142857142857143
5252,2020-03-20,Santa Clara,California,6085.0,196,8.0,7.0,2.0,16.714285714285715,0.8571428571428571
6173,2020-03-21,Santa Clara,California,6085.0,263,8.0,67.0,0.0,24.571428571428573,0.8571428571428571
7207,2020-03-22,Santa Clara,California,6085.0,303,11.0,40.0,3.0,27.0,1.2857142857142858
8350,2020-03-23,Santa Clara,California,6085.0,321,11.0,18.0,0.0,26.142857142857142,1.0
9593,2020-03-24,Santa Clara,California,6085.0,375,17.0,54.0,6.0,31.428571428571427,1.7142857142857142
10965,2020-03-25,Santa Clara,California,6085.0,459,18.0,84.0,1.0,40.57142857142857,1.7142857142857142
12510,2020-03-26,Santa Clara,California,6085.0,542,20.0,83.0,2.0,50.42857142857143,2.0
14176,2020-03-27,Santa Clara,California,6085.0,574,21.0,32.0,1.0,54.0,1.8571428571428572
15958,2020-03-28,Santa Clara,California,6085.0,591,26.0,17.0,5.0,46.857142857142854,2.5714285714285716
17847,2020-03-29,Santa Clara,California,6085.0,646,26.0,55.0,0.0,49.0,2.142857142857143
19824,2020-03-30,Santa Clara,California,6085.0,848,29.0,202.0,3.0,75.28571428571429,2.5714285714285716
21899,2020-03-31,Santa Clara,California,6085.0,890,31.0,42.0,2.0,73.57142857142857,2.0
24057,2020-04-01,Santa Clara,California,6085.0,956,33.0,66.0,2.0,71.0,2.142857142857143
26286,2020-04-02,Santa Clara,California,6085.0,1019,37.0,63.0,4.0,68.14285714285714,2.4285714285714284
28585,2020-04-03,Santa Clara,California,6085.0,1094,39.0,75.0,2.0,74.28571428571429,2.5714285714285716
30943,2020-04-04,Santa Clara,California,6085.0,1148,40.0,54.0,1.0,79.57142857142857,2.0
33349,2020-04-05,Santa Clara,California,6085.0,1207,40.0,59.0,0.0,80.14285714285714,2.0
35794,2020-04-06,Santa Clara,California,6085.0,1224,40.0,17.0,0.0,53.714285714285715,1.5714285714285714
38283,2020-04-07,Santa Clara,California,6085.0,1285,44.0,61.0,4.0,56.42857142857143,1.8571428571428572
40827,2020-04-08,Santa Clara,California,6085.0,1380,47.0,95.0,3.0,60.57142857142857,2.0
43399,2020-04-09,Santa Clara,California,6085.0,1442,48.0,62.0,1.0,60.42857142857143,1.5714285714285714
45999,2020-04-10,Santa Clara,California,6085.0,1484,50.0,42.0,2.0,55.714285714285715,1.5714285714285714
48629,2020-04-11,Santa Clara,California,6085.0,1566,52.0,82.0,2.0,59.714285714285715,1.7142857142857142
51291,2020-04-12,Santa Clara,California,6085.0,1621,54.0,55.0,2.0,59.142857142857146,2.0
53970,2020-04-13,Santa Clara,California,6085.0,1666,61.0,45.0,7.0,63.142857142857146,3.0
56662,2020-04-14,Santa Clara,California,6085.0,1666,61.0,0.0,0.0,54.42857142857143,2.4285714285714284
59370,2020-04-15,Santa Clara,California,6085.0,1793,66.0,127.0,5.0,59.0,2.7142857142857144
62089,2020-04-16,Santa Clara,California,6085.0,1833,70.0,40.0,4.0,55.857142857142854,3.142857142857143
64822,2020-04-17,Santa Clara,California,6085.0,1870,74.0,37.0,4.0,55.142857142857146,3.4285714285714284
67570,2020-04-18,Santa Clara,California,6085.0,1870,74.0,0.0,0.0,43.42857142857143,3.142857142857143
70332,2020-04-19,Santa Clara,California,6085.0,1870,74.0,0.0,0.0,35.57142857142857,2.857142857142857
73101,2020-04-20,Santa Clara,California,6085.0,1922,84.0,52.0,10.0,36.57142857142857,3.2857142857142856
75877,2020-04-21,Santa Clara,California,6085.0,1946,89.0,24.0,5.0,40.0,4.0
78661,2020-04-22,Santa Clara,California,6085.0,1962,95.0,16.0,6.0,24.142857142857142,4.142857142857143
81455,2020-04-23,Santa Clara,California,6085.0,1987,96.0,25.0,1.0,22.0,3.7142857142857144
84255,2020-04-24,Santa Clara,California,6085.0,2018,99.0,31.0,3.0,21.142857142857142,3.5714285714285716
87063,2020-04-25,Santa Clara,California,6085.0,2040,100.0,22.0,1.0,24.285714285714285,3.7142857142857144
89880,2020-04-26,Santa Clara,California,6085.0,2084,101.0,44.0,1.0,30.571428571428573,3.857142857142857
92698,2020-04-27,Santa Clara,California,6085.0,2105,104.0,21.0,3.0,26.142857142857142,2.857142857142857
95530,2020-04-28,Santa Clara,California,6085.0,2122,107.0,17.0,3.0,25.142857142857142,2.5714285714285716
98375,2020-04-29,Santa Clara,California,6085.0,2134,108.0,12.0,1.0,24.571428571428573,1.8571428571428572
101225,2020-04-30,Santa Clara,California,6085.0,2163,112.0,29.0,4.0,25.142857142857142,2.2857142857142856
104080,2020-05-01,Santa Clara,California,6085.0,2179,114.0,16.0,2.0,23.0,2.142857142857143
106945,2020-05-02,Santa Clara,California,6085.0,2204,115.0,25.0,1.0,23.428571428571427,2.142857142857143
109814,2020-05-03,Santa Clara,California,6085.0,2231,116.0,27.0,1.0,21.0,2.142857142857143
112689,2020-05-04,Santa Clara,California,6085.0,2244,118.0,13.0,2.0,19.857142857142858,2.0
115572,2020-05-05,Santa Clara,California,6085.0,2255,122.0,11.0,4.0,19.0,2.142857142857143
118531,2020-05-06,Santa Clara,California,6085.0,2268,122.0,13.0,0.0,19.142857142857142,2.0
121498,2020-05-07,Santa Clara,California,6085.0,2281,122.0,13.0,0.0,16.857142857142858,1.4285714285714286
124478,2020-05-08,Santa Clara,California,6085.0,2290,129.0,9.0,7.0,15.857142857142858,2.142857142857143
127463,2020-05-09,Santa Clara,California,6085.0,2307,131.0,17.0,2.0,14.714285714285714,2.2857142857142856
130453,2020-05-10,Santa Clara,California,6085.0,2339,131.0,32.0,0.0,15.428571428571429,2.142857142857143
133443,2020-05-11,Santa Clara,California,6085.0,2341,131.0,2.0,0.0,13.857142857142858,1.8571428571428572
136433,2020-05-12,Santa Clara,California,6085.0,2364,134.0,23.0,3.0,15.571428571428571,1.7142857142857142
139424,2020-05-13,Santa Clara,California,6085.0,2364,134.0,0.0,0.0,13.714285714285714,1.7142857142857142
142420,2020-05-14,Santa Clara,California,6085.0,2391,136.0,27.0,2.0,15.714285714285714,2.0
145419,2020-05-15,Santa Clara,California,6085.0,2403,136.0,12.0,0.0,16.142857142857142,1.0
148423,2020-05-16,Santa Clara,California,6085.0,2418,137.0,15.0,1.0,15.857142857142858,0.8571428571428571
151432,2020-05-17,Santa Clara,California,6085.0,2453,137.0,35.0,0.0,16.285714285714285,0.8571428571428571
154444,2020-05-18,Santa Clara,California,6085.0,2453,137.0,0.0,0.0,16.0,0.8571428571428571
157460,2020-05-19,Santa Clara,California,6085.0,2483,138.0,30.0,1.0,17.0,0.5714285714285714
160486,2020-05-20,Santa Clara,California,6085.0,2492,140.0,9.0,2.0,18.285714285714285,0.8571428571428571
163514,2020-05-21,Santa Clara,California,6085.0,2508,140.0,16.0,0.0,16.714285714285715,0.5714285714285714
166546,2020-05-22,Santa Clara,California,6085.0,2546,140.0,38.0,0.0,20.428571428571427,0.5714285714285714
169583,2020-05-23,Santa Clara,California,6085.0,2571,140.0,25.0,0.0,21.857142857142858,0.42857142857142855
172624,2020-05-24,Santa Clara,California,6085.0,2617,140.0,46.0,0.0,23.428571428571427,0.42857142857142855
175668,2020-05-25,Santa Clara,California,6085.0,2652,140.0,35.0,0.0,28.428571428571427,0.42857142857142855
178712,2020-05-26,Santa Clara,California,6085.0,2675,141.0,23.0,1.0,27.428571428571427,0.42857142857142855
181756,2020-05-27,Santa Clara,California,6085.0,2688,141.0,13.0,0.0,28.0,0.14285714285714285
184810,2020-05-28,Santa Clara,California,6085.0,2701,142.0,13.0,1.0,27.571428571428573,0.2857142857142857
187866,2020-05-29,Santa Clara,California,6085.0,2707,142.0,6.0,0.0,23.0,0.2857142857142857
190931,2020-05-30,Santa Clara,California,6085.0,2731,142.0,24.0,0.0,22.857142857142858,0.2857142857142857
193998,2020-05-31,Santa Clara,California,6085.0,2776,142.0,45.0,0.0,22.714285714285715,0.2857142857142857
197068,2020-06-01,Santa Clara,California,6085.0,2805,145.0,29.0,3.0,21.857142857142858,0.7142857142857143
200141,2020-06-02,Santa Clara,California,6085.0,2819,145.0,14.0,0.0,20.571428571428573,0.5714285714285714
203217,2020-06-03,Santa Clara,California,6085.0,2832,145.0,13.0,0.0,20.571428571428573,0.5714285714285714
206297,2020-06-04,Santa Clara,California,6085.0,2850,145.0,18.0,0.0,21.285714285714285,0.42857142857142855
209379,2020-06-05,Santa Clara,California,6085.0,2892,145.0,42.0,0.0,26.428571428571427,0.42857142857142855
212465,2020-06-06,Santa Clara,California,6085.0,2920,145.0,28.0,0.0,27.0,0.42857142857142855
215553,2020-06-07,Santa Clara,California,6085.0,2942,145.0,22.0,0.0,23.714285714285715,0.42857142857142855
218645,2020-06-08,Santa Clara,California,6085.0,2973,146.0,31.0,1.0,24.0,0.14285714285714285
221741,2020-06-09,Santa Clara,California,6085.0,3017,150.0,44.0,4.0,28.285714285714285,0.7142857142857143
224838,2020-06-10,Santa Clara,California,6085.0,3032,150.0,15.0,0.0,28.571428571428573,0.7142857142857143
227941,2020-06-11,Santa Clara,California,6085.0,3063,150.0,31.0,0.0,30.428571428571427,0.7142857142857143
231046,2020-06-12,Santa Clara,California,6085.0,3117,151.0,54.0,1.0,32.142857142857146,0.8571428571428571
234153,2020-06-13,Santa Clara,California,6085.0,3157,151.0,40.0,0.0,33.857142857142854,0.8571428571428571
237261,2020-06-14,Santa Clara,California,6085.0,3197,152.0,40.0,1.0,36.42857142857143,1.0
240370,2020-06-15,Santa Clara,California,6085.0,3230,152.0,33.0,0.0,36.714285714285715,0.8571428571428571
243482,2020-06-16,Santa Clara,California,6085.0,3254,153.0,24.0,1.0,33.857142857142854,0.42857142857142855
246596,2020-06-17,Santa Clara,California,6085.0,3288,153.0,34.0,0.0,36.57142857142857,0.42857142857142855
249709,2020-06-18,Santa Clara,California,6085.0,3363,153.0,75.0,0.0,42.857142857142854,0.42857142857142855
252825,2020-06-19,Santa Clara,California,6085.0,3398,153.0,35.0,0.0,40.142857142857146,0.2857142857142857
255945,2020-06-20,Santa Clara,California,6085.0,3458,153.0,60.0,0.0,43.0,0.2857142857142857
259073,2020-06-21,Santa Clara,California,6085.0,3547,155.0,89.0,2.0,50.0,0.42857142857142855
262201,2020-06-22,Santa Clara,California,6085.0,3606,155.0,59.0,0.0,53.714285714285715,0.42857142857142855
265331,2020-06-23,Santa Clara,California,6085.0,3727,155.0,121.0,0.0,67.57142857142857,0.2857142857142857
268462,2020-06-24,Santa Clara,California,6085.0,3832,156.0,105.0,1.0,77.71428571428571,0.42857142857142855
